pairID	condition	topic
5	NB	11
6	TYB	2
7	NB	5
8	TYB	7
11	TYB	9
12	NB	12
13	NB	6
14	TYB	5
15	NB	14
16	TYB	6
17	TYB	12
18	NB	5
19	NB	10
20	TYB	4
21	NB	14
22	TYB	4
23	NB	9
24	TYB	8
25	NB	8
26	TYB	5
27	TYB	7
28	NB	2
29	TYB	7
30	NB	13
31	NB	5
32	TYB	11
33	NB	12
34	TYB	11
35	TYB	5
36	NB	3
37	NB	5
38	TYB	2
39	NB	12
40	TYB	5
41	NB	6
42	TYB	15
43	NB	7
44	TYB	7
45	NB	11
46	TYB	6
47	NB	8
48	NB	3
49	TYB	2
50	NB	2
51	TYB	12
52	TYB	7
53	NB	12
54	TYB	2
55	TYB	1
57	NB	12
58	TYB	11
59	NB	14
60	TYB	7
61	NB	1
62	TYB	5
65	TYB	11
67	TYB	14
68	TYB	5
69	NB	1
70	TYB	6
72	TYB	11
73	NB	11
75	TYB	7
76	NB	11
77	TYB	1
78	NB	11
83	NB	1
95	NB	14
96	TYB	5
97	NB	11
99	NB	12
100	NB	7
101	TYB	9
102	NB	13
103	TYB	6
104	TYB	8
105	NB	10
106	TYB	7
107	NB	7
108	TYB	15
