appre_log,affir_log,assent_log,aggree_log,fillpause_log,laugh_log,yknow_log,idknow_log,conj,negate,posemo,negemo,insight,cause,discrep,certain,assent
0,0,0.693147181,0,1.098612289,0,2.302585093,0,7.96,3.18,1.33,2.12,7.16,1.86,1.59,1.33,0.27
0,0,0,0,1.098612289,0,0,0,10.14,3.62,2.17,2.9,6.52,2.9,4.35,0.72,0
0,1.609437912,2.079441542,0,1.791759469,0,0,1.098612289,10.45,3.83,3.48,2.09,6.27,2.44,2.79,2.44,5.23
0,0.693147181,1.098612289,1.386294361,1.386294361,0.693147181,0,0,4.49,3.21,6.41,1.28,3.85,1.92,4.49,1.28,2.56
0,1.098612289,0,0,1.386294361,0,0,0.693147181,8.29,1.55,3.11,0,5.18,2.59,1.55,1.04,1.55
0,0,0,0,3.17805383,0,0,0,6.01,1.29,2.58,0,5.15,0.86,2.58,2.15,0
0,1.098612289,1.791759469,0,0.693147181,0.693147181,0,0,9.85,3.94,4.43,0.99,4.93,1.97,4.43,2.96,3.94
0,0,2.079441542,0,0,0,0,0,10.43,5.4,1.44,1.08,2.16,2.16,7.19,1.44,1.44
0,0.693147181,1.945910149,0,2.197224577,0.693147181,0,0,5.84,1.33,3.98,0.8,5.84,1.33,2.39,0.27,2.92
0,0,1.386294361,0.693147181,0,0.693147181,0,1.098612289,13.39,2.36,5.91,1.18,4.72,1.97,2.76,0.39,1.57
0,1.098612289,1.098612289,0,1.386294361,0,0,0,9.61,3.91,3.2,1.07,3.91,2.49,2.49,2.85,1.78
0,0,1.945910149,0,1.791759469,0,0.693147181,0,9.17,2.29,3.67,1.38,7.8,3.67,3.67,0.46,3.21
0,1.386294361,1.098612289,0,2.397895273,0,0,0,8.66,2.89,5.42,1.08,4.33,1.81,3.25,1.81,3.97
0,0,0,0,0.693147181,0,0,0,7.02,1.75,1.17,3.51,4.09,4.09,3.51,1.17,1.17
0,0,2.708050201,0,2.302585093,0.693147181,0,0.693147181,8.53,0.68,3.75,0,7.17,4.1,2.05,4.1,5.12
0,0,2.197224577,1.098612289,1.098612289,0.693147181,0,1.386294361,7.56,4.07,6.98,0,9.88,2.91,6.4,1.74,6.98
0,0,1.609437912,0,1.945910149,0.693147181,0.693147181,0,8.21,1.93,1.93,2.9,3.38,0.48,2.42,1.45,3.38
0,1.791759469,1.098612289,0,2.302585093,0,0,1.386294361,9.33,2.87,1.44,0.24,5.02,0.96,1.44,0.96,1.44
0,0,1.791759469,0,1.098612289,0,0,0,11.11,2.12,3.17,0.53,2.12,1.59,1.06,3.17,2.65
0,0,1.098612289,0.693147181,1.945910149,0,1.098612289,0,7.75,2.21,2.95,2.58,5.54,1.48,3.32,2.95,1.85
0,0,1.098612289,0.693147181,2.079441542,0,0,0,10.53,1.97,3.95,2.63,7.89,1.97,0.66,0.66,3.29
0,2.079441542,1.791759469,0,0,1.609437912,0,0,9.24,1.68,6.72,0.42,6.3,3.78,2.52,0.84,6.72
0,2.302585093,1.098612289,1.098612289,0,0,0,0.693147181,11.22,2.04,5.61,0,5.61,5.1,2.55,2.04,8.67
0,1.945910149,0,0,1.945910149,0,0,0,11.15,2.87,2.87,0.64,2.87,0.96,2.23,0.64,2.23
0,0,2.708050201,0,1.791759469,0,0.693147181,0,11.49,4.6,5.75,0,3.45,1.72,2.87,2.3,7.47
0,0,2.079441542,0,0.693147181,0,0.693147181,1.098612289,10.34,3.74,2.87,0.57,4.6,3.16,2.59,0.57,1.44
0,0,2.564949357,0,1.098612289,1.098612289,0,0,6.7,3.09,7.73,0.52,3.09,0.52,3.09,2.06,6.7
0,0,3.044522438,0,0.693147181,0,1.098612289,1.386294361,5.03,2.96,5.62,1.48,8.88,2.07,3.85,2.37,6.51
0,1.098612289,1.945910149,0,0,0,0,0,8.96,3.58,0.3,0.9,5.07,2.69,3.28,1.49,2.09
0,1.098612289,1.945910149,0,0.693147181,0,0,0,6.73,1.35,3.59,0.9,6.28,2.69,2.24,3.14,4.04
0.693147181,0,0,0,0.693147181,0,0,0,7.19,0.65,10.46,1.31,4.58,2.61,3.92,2.61,1.96
0,0,1.945910149,0,2.564949357,1.609437912,0,1.609437912,4.32,1.85,8.64,0,4.94,1.23,2.16,2.78,3.09
0,0,0.693147181,0,1.098612289,0,0,0,10.34,3.45,2.96,2.46,4.43,3.45,9.85,0.99,0.99
0,0.693147181,0,0,1.791759469,0,0,0,5.96,4.64,3.31,2.65,5.96,2.65,0.66,1.32,1.32
0,0,1.791759469,0,1.791759469,0,0.693147181,0,6.76,0,5.59,0,7.94,4.12,4.12,1.18,2.06
0,0.693147181,1.791759469,0,0,0,0,0,10.78,2.94,7.84,0,3.43,3.92,2.94,0.98,6.37
