,con_txt,condition,label,topic,agent,appre_c,affir_c,assent_c,aggree_c,fillpause_c,laugh_c,yknow_c,idknow_c,appre_log,affir_log,assent_log,aggree_log,fillpause_log,laugh_log,yknow_log,idknow_log
0,"Yeah, like definitely, like, I definitely see what you mean what the reason I personally am against the death penalty isn't because I don't think some people should be from removed society because if you have like someone who's like, I don't know, like a terrorist who, who knows people indiscriminately or something like that, you know, I think they should be removed from society, but at the same time, you know, in terms of like implementation a lot of the time. So like, in the US, like, when someone is sentenced to death, like, the, just from, like, there's, I guess there's two perspectives, there's like, the sort of pragmatic perspective and then there's, like a moral perspective, like, and just from, like, the pragmatic perspective, you know, like when you're talking about like, like, I've done a little bit of research into this. Uh like, it actually costs more to send it to like, uhh an execution because there's a ton of like checks to make sure that you're not executing the wrong person like  even even in spite of that every once in a while, you know, like people after their execution are exonerated by DNA evidence and you know, you can't undo a death sentence but you can undo a Life Sentence  And then the other thing is like from like a more like moral perspective or not not even a moral perspective. But like, I remember I, I haven't actually read the study. But I remember reading that there was a study that said that like the death penalty isn't any worse than like a life sentence, like life without parole when it comes to punishing or when it comes to discouraging crime. And like when it comes to um what is it? And then like some people, like, from certain points of view, you know, a life sentence without parole might even be a worse punishment than a death sentence. Because with the death sentence, you know, you're you're dying, like you don't have to stew in prison and think about what you've done, you know? With the life sentence, you know, you're left to live the rest of your life, you know, thinking about what to did if that makes sense? ",NB,A_1,11,A,0,0,2,0,3,0,10,1,0.0,0.0,0.6931471805599453,0.0,1.0986122886681098,0.0,2.302585092994046,0.0
1,"I actually didn't look much into the legal system here, but for death penalty, I think like, if..I think if someone committed to a really serious crime such as umm very like, like murdering people and like not being regretful about that and then um like continuously doing a lot of things that will harm the security of the society and also the people around them. I don't think there is any reason why this person could continue to live in this society, I see what you mean.  But I guess that, um I don't know. I just don't think we should really care about the moral aspect of it as like in the society is working and the moral values are /(consuming?)/changes so I think like if you decided something based on the moral power ",NB,B_1,11,B,0,0,1,0,3,0,0,1,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,0.0,0.0
2,"Oh really, Okay, uhhm so I-I think the reason I put 10 was I-I just thought like, as long as medical condition permits meant, like, they're like safe to take like it, you know, it won't hurt them. And I was also assuming I guess that like the cost would be covered or something. Um uh an-and so that it would just be like a net benefit thing, because um when you get a flu shot, you can't make other people sick. Yeah, I know. I totally agree with the practical thing, because there are definitely times when I just am like lazy. I so yeah, ever maybe okay. Everyone's like should, but in reality yeah, I totally feel lazy and just don't sometimes but yeah, yeah, that that makes sense.  . Uh-huh. . There might be like some cost to doing it that I'm not thinking of like the fact that you have to like take the time to go and maybe the shot is painful or something and that like that maybe that cost something that really should be considered, well that that like is part of getting a flu shot that I wasn't thinking about so  . Uh-huh . . Yeah, I-I don't know about maybe it wasn't the best language but but yeah, like if it was.. I don't know diseases, but yeah, you're right like some some stronger thing whereas the flu is like eh, but um I mean, I haven't been sick for a while so I don't know  You think like it might like jinx it or something?  . Yeah. . To get a shot every season?.  Yeah, I mean I would still say maybe people should, but I can see why someone wouldn't",TYB,A_2,2,A,0,5,8,1,6,0,1,3,0.0,1.6094379124341003,2.0794415416798357,0.0,1.791759469228055,0.0,0.0,1.0986122886681098
3,"I think I really like your concern about the not affecting the others {{}}, but the reason I put um a pretty low level of agreement on this system is a personally, I don't take flu shots very regularly. Although, I always get asked by the nurses:  would you like to schedule an appointment?  I just feel like I don't necessarily want to visit the clinic.  Yeah, I really like your quoted / because I had a bit of a debate on what  should  here mean by definition? [laughs]. I though should is sort of a strong word  Yeah, I really like your point about uh the net profit to the society which I think if this instead of a crucial some sort of more serious vaccination I would be more on the .  strongly agree side. Oh, don't say that!  [laughs] Probably, that's just uh-let's hope that doesn't happen.. And also, seasonal is very frequent  . Right. . Uh-huh",TYB,B_2,2,B,0,2,3,4,4,2,0,0,0.0,0.6931471805599453,1.0986122886681098,1.3862943611198906,1.3862943611198906,0.6931471805599453,0.0,0.0
4,"So I, when I read this question I thought about, like, myself as a underrepresented minority woman, typically in Ivy League schools, like my demographics would probably be one of the least. Um like, least visible as like a uh Latina woman. And so I was thinking um that there are positives to the university knowing about my background, because, like, I don't know, that could help with like, giving me opportunities. I don't know, wa-wa-what were you thinking when you read it?  Ok and so what does the law say? Does it say like, or what did the study show? Ok, umm, another thing I was thinking about is, even when like you don't say specifically what your race is or like what your background is, or anything, a lot of times based on like stuff that ends up coming out in your essays are like based on what your name is even like, do you think like it should just like take off your name when they're looking at that application? Because I feel like a lot of times just based on the name like, you can tell. . Ok. ",NB,A_3,5,A,0,3,0,0,4,0,0,2,0.0,1.0986122886681098,0.0,0.0,1.3862943611198906,0.0,0.0,0.6931471805599453
5,"So, uh I-I actually uh read a lot about this topic, and, uh uh but from my understanding, um there is a very strong legal case like  uh being blind to a candidate's race to a large extent  is necessary under uhh decisions, uhh relevant decisions from the Supreme Court and other and there are uh  a current cases  working through the court system uhh with the aim of uh clarifying that decision. And uhh I think the primary consideration should be uhh that the Ivy League institution being uhh recipients of federal funding must follow the law. So the I believe it is part of the Civil Rights Act, that states any institution receiving federal funding um must not differentiate discriminate based on like race or  uh color or nationality or gender I think. And this is part of like uhh the civil rights act. Which is obviously uhh a very important part of uh of the American legal system. So, this is the primary consideration. Well, that is that is possible, but there are numerous methods that uhh schools can be required to um do their best to kind of not consider a candidate's race. . In addition, I should add that um there are certain research that uh points to a possibility that uh admitting a candidate that is significantly below average of cause if that would not have been the..",NB,B_3,5,B,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0.0,3.1780538303479458,0.0,0.0,0.0
6,"Oh wow Okay, well, I give it an eight so..I mean like in some cases when I'm really in hurry  someone's really in hurry I think they should be able to cross and there's like absolutely no cars inside, but in general, but in general..I don't think people should do that. Um because maybe a car will be coming very fast..or they like but they can't like break like if they see you crossing like especially walking and they couldn't break in time and it might cause an accident or if everyone does that, it's going to be quite chaotic on the street but  And that's my reason  Yeah, that may makes sense before. I mean there's absolutely no cars that are in sight then I think you can cross if you're in a hurry [laughs].   Um, okay [laughs]. I see I see. Yeah, I just think there's a..I don't know a  certain rules like if you were I'm a ..I tend to follow them sometimes. Yea, yea, driver's radio I hate that and I think that if people just came out of nowhere it could be dangerous for them. Even with the red light, they won't stop freely.",TYB,A_4,7,A,0,3,6,0,2,2,0,1,0.0,1.0986122886681098,1.791759469228055,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0
7,"Okay I see where you're coming, but from in terms of like if you were a driver, I guess I don't really get like if there's no cars there..Why can't you cross? Like why wouldn't you do that? I definitely think that, yea  I can see how like it could stop the cars from like breaking in time. But I feel like if you don't see a car like anywhere and it's like people are distant, you should be able to cross even if someone was going say like 80 70,  and also they shouldn't really be going that fast in the first place if it's a local street because you're able to cross unless it's a highways which wouldn't have crosswalks plus I just feel like they shouldn't be going that fast anyways, and so it wouldn't be dangerous especially if you didn't see anything down the line.  Yeah, I think  also just, I guess, I guess I would describe it like even if you're not in a hurry you should do it. Like what's the point of waiting if there's no one there to like for you to wait? I don't know, that's how I see it Yea, but I guess, ya I see sometimes I do want to improve and  I think especially in Chicago, a lot of people go kind of like jaywalk I always hate it when people do that. My only concern is that if the concern is  that they can't stop in time and it's dangerous, even if they're going that fast and /(they see a red light?)/ Sometimes, because they're going that fast, they can't stop /(even for a red light?)/",TYB,B_4,7,B,0,1,8,0,0,0,0,1,0.0,0.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0
8,"I just strongly believe in the right to um {{}} dignity. And so yeah, I agree with with the idea that physician assisted suicide should be legal. Um I think it's important that like, I don't know, from personal experience like seeing people who are like suffering when they're like in old age and like dying to know that they should be allowed to do something.  That makes sense. Yea, it's like normalizing the idea of like suicide. Which, yeah, I guess some people might not see it as a last resort anymore. They might just treat it as like something that they could do  just go out and like run to Walgreens [laugh].  Yeah, like I think personally, I just was imagining it being like a really regulated process, um where you have to, like still demonstrate like you like that this is the last resort. Um and also because like yeah, like I know that there's like a lot of potential for abuse. Like if you just like, like if you convince your significant other  like that one {{}} [laugh]. Do you know what I'm talking about?  Well OK like this guy..like this chick convinced her boyfriend to like off himself. . And I feel like yeah, there's just a lot of potential for abuse because it becomes this easy and like painless, then there there might be an issue, which is I think there needs to be a lot of layers of regulation. Um but yeah, something that I feel like um kind of has a lot of like it actually they have this not like several other countries and mostly people who like ah look at the prescription for example like don't necessarily won't even use it um they'll just like feel better having it there.  I think like most people, for most people it might be like a just kind of a um.. like I think it just it would still be like kind of a last resort like like as in like like you would just like a lot of people at least from anecdotally like they take comfort in having the like the option..um but then, like they just feel more secure with their {{}}..  Oh, yeah, so, I think it would have to be mandated {{}}.",TYB,A_5,9,A,0,2,7,1,9,2,1,1,0.0,0.6931471805599453,1.9459101490553132,0.0,2.1972245773362196,0.6931471805599453,0.0,0.0
9,"I like what you said about like the right to. I just think, um I guess I was looking more towards like younger people. I think of older like hospice, I wasn't thinking about. But I feel like as much as it helps them  it also encourages it. I don't know.  [laugh] Yeah, no I agree with what you said about like normalizing because I think like people will see what physicians and doctors do and clinics as just like, they're like authority they have like PhDs and whatever. So whatever they encourage and they offer services to, is things that people are going to think are like...super...acceptable and not just like, you can walk in and get this as easy as you could do something like get a surgery if you need it or something. [laugh] I don't know  . What?. . So I like we said about regulation but, I'm confused about like having it there I feel like that's so much worse if you're like going about your life and you just have this like I can off myself kind of slip going on. And I don't know how it would get like regulated because you like on your worst days you go in and be like I want this slip. But then on better days, you might like reconsider it. Yeah, so I agree with like having options, but how would you make sure that people like see this option as like less available than like therapy and counseling and like..?",TYB,B_5,9,B,0,0,4,2,1,2,0,3,0.0,0.0,1.3862943611198906,0.6931471805599453,0.0,0.6931471805599453,0.0,1.0986122886681098
