appre_log,affir_log,assent_log,aggree_log,fillpause_log,laugh_log,yknow_log,idknow_log,conj,negate,posemo,negemo,insight,cause,discrep,certain,assent
0,0,1.098612289,0,1.791759469,0,2.302585093,0.693147181,8.54,3.3,1.55,2.33,6.99,2.14,2.33,1.17,0.19
0,1.945910149,2.397895273,1.609437912,2.302585093,0.693147181,0,1.098612289,8.35,3.61,4.51,1.81,5.42,2.26,3.39,2.03,4.29
0,1.098612289,0,0,3.33220451,0,0,0.693147181,7.04,1.41,2.82,0,5.16,1.64,2.11,1.64,0.7
0,1.386294361,2.63905733,0,0.693147181,0.693147181,0,0.693147181,10.19,4.78,2.7,1.04,3.33,2.08,6.03,2.08,2.49
0,0.693147181,2.397895273,1.098612289,2.302585093,1.386294361,0,1.386294361,8.87,1.74,4.75,0.95,5.39,1.58,2.54,0.32,2.38
0,1.386294361,2.302585093,0,2.302585093,0,0.693147181,0.693147181,9.42,3.21,3.41,1.2,5.61,3.01,3.01,1.8,2.4
0,1.386294361,1.386294361,0,2.564949357,0,0,0,8.04,2.46,3.79,2.01,4.24,2.68,3.35,1.56,2.9
0,0,3.17805383,1.386294361,2.564949357,1.386294361,0,1.791759469,8.17,1.94,4.95,0,8.17,3.66,3.66,3.23,5.81
0,1.945910149,2.079441542,0,2.833213344,0.693147181,1.098612289,1.386294361,8.96,2.56,1.6,1.12,4.48,0.8,1.76,1.12,2.08
0,0,2.197224577,1.098612289,2.302585093,0,1.098612289,0,9.13,2.17,3.04,1.74,4.13,1.52,2.39,3.04,2.17
0,2.079441542,2.197224577,1.098612289,2.197224577,1.791759469,0,0,9.74,1.79,5.64,1.28,6.92,3.08,1.79,0.77,5.38
0,2.833213344,1.098612289,1.098612289,2.079441542,0,0.693147181,0.693147181,11.2,2.55,3.93,0.39,3.93,2.55,2.36,1.18,4.52
0,0,3.135494216,0,2.079441542,0,1.386294361,1.386294361,10.73,4.02,3.83,0.38,4.21,2.68,2.68,1.15,3.45
0,0,3.526360525,0,1.609437912,1.386294361,1.386294361,1.386294361,5.64,3.01,6.39,1.13,6.77,1.5,3.57,2.26,6.58
0,1.791759469,2.63905733,0,1.098612289,0,0,0,8.06,2.69,1.61,0.9,5.56,2.69,2.87,2.15,2.87
0.693147181,0,2.079441542,0,2.708050201,1.791759469,0,1.609437912,5.24,1.47,9.22,0.42,4.82,1.68,2.73,2.73,2.73
0,0.693147181,0.693147181,0,2.197224577,0,0,0,8.47,3.95,3.11,2.54,5.08,3.11,5.93,1.13,1.13
0,0.693147181,2.48490665,0,1.945910149,0,1.098612289,0,8.27,1.1,6.43,0,6.25,4.04,3.68,1.1,3.68
0,1.609437912,1.945910149,0,1.386294361,0,0,0,9.67,3.1,2.92,1.09,4.2,4.38,5.66,0.55,2.01
