appre_log,affir_log,assent_log,aggree_log,fillpause_log,laugh_log,yknow_log,idknow_log,conj,negate,posemo,negemo,insight,cause,discrep,certain,assent
0,0,0.693147181,0,0.693147181,0,1.609437912,0,6.98,2.33,1.86,1.4,6.98,2.33,2.33,1.86,0.47
0,0,0,0,0,0,1.609437912,0,9.26,4.32,0.62,3.09,7.41,1.23,0.62,0.62,0
0,0.693147181,0,0,1.098612289,0,0,0,11.76,2.35,3.53,2.35,7.06,4.71,2.35,0,1.18
0,0,0.693147181,0,0,0,0,0,12.24,2.04,6.12,4.08,6.12,4.08,2.04,10.2,14.29
0,0,0,0,0,0,0,0,6.15,3.08,3.08,1.54,4.62,0,1.54,1.54,1.54
0,0,1.098612289,0,0.693147181,0,0,1.098612289,14.81,9.26,3.7,1.85,7.41,0,1.85,0,7.41
0,0,0,0,0,0,0,0,10,0.00,0,0,10,0,0,0,0
0,0,1.098612289,0,0,0,0,0,4.17,4.17,0,0,4.17,4.17,12.5,4.17,8.33
0,0,0,0,1.098612289,0,0,0.693147181,9.41,2.35,3.53,0,8.24,1.18,2.35,1.18,0
0,0,0,0,0,0,0,0,16.67,0.00,5.56,0,0,0,0,0,5.56
0,0,0,0,0,0,0,0,5.62,1.12,1.12,0,3.37,4.49,1.12,1.12,1.12
0,0,0,0,0,0,0,0,0,0.00,100,0,0,0,0,0,100
0,0.693147181,0,0,0,0,0,0,9.43,3.77,5.66,0,5.66,0,3.77,1.89,3.77
0,0,0,0,0,0,0,0,16.67,3.70,1.85,0,0,3.7,5.56,3.7,0
0,0,0,0,0,0,0,0,25,0.00,0,0,25,25,0,0,0
0,0,0,0,0,0,0,0,7.14,3.57,3.57,0,10.71,3.57,3.57,3.57,7.14
0,0,0,0,0,0,0,0,0,0.00,66.67,0,0,0,0,0,33.33
0,0,1.098612289,0,0,0,0,0,3.57,3.57,3.57,0,7.14,0,3.57,3.57,3.57
0,0,0.693147181,0,0,0,0,0,8.33,4.17,0,8.33,4.17,0,8.33,4.17,8.33
0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0
0,0,0.693147181,0,0.693147181,0,0,0,6.15,1.54,6.15,1.54,7.69,1.54,3.08,0,3.08
0,0,0.693147181,0,0,0,0,0,6.25,2.08,4.17,0,4.17,2.08,2.08,0,4.17
0,0,0,0,0.693147181,0,0,0,6.76,0.00,2.7,1.35,6.76,1.35,2.7,0,2.7
0,0,0,0,1.098612289,0,0,0,5.5,2.75,4.59,0.92,5.5,1.83,0.92,0.92,3.67
0,0,0,0,0.693147181,0,0,0,4.29,0.00,2.86,0,4.29,0,2.86,0,0
0,0,0,0,0,0,0,0,9.09,0.00,0,0,9.09,0,9.09,0,9.09
0,0.693147181,0,0,1.098612289,0,0,0,9.58,4.19,2.4,1.2,2.99,2.99,2.99,1.8,1.2
0,0,0,0,0,0,0,0,4.26,4.26,6.38,0,8.51,0,4.26,6.38,0
0,0,0,0,0,0,0,0,0,0.00,50,0,0,0,0,50,50
0,0,0,0,0,0,0,0,0,0.00,25,0,0,0,0,0,25
0,0,0,0,0,0,0,0,14.75,3.28,0,1.64,3.28,3.28,0,1.64,1.64
0,0.693147181,0,0,1.945910149,0,0,0,9.03,1.94,7.1,1.29,4.52,1.94,2.58,1.94,3.23
0,0.693147181,1.098612289,0,1.386294361,0,0,0,8.2,4.10,3.28,0.82,4.1,1.64,4.1,1.64,4.92
0,0,0,0,1.386294361,0,0,0,3.12,0.00,6.25,0,6.25,3.12,3.12,4.69,1.56
0,0,0.693147181,0,0,0,0,0,9.3,0.00,4.65,0,4.65,9.3,0,6.98,4.65
0,0,1.609437912,0,0,0,0,0,0,0.00,0,0,0,0,0,0,100
0,0,1.098612289,0,1.098612289,0,0,0,15,0.00,3.33,0,3.33,3.33,1.67,5,6.67
0,0,0,0,0,0,0,0.693147181,8.2,3.28,3.28,0,14.75,1.64,0,1.64,1.64
0,0,1.098612289,0,0,0,0,0,0,0.00,0,0,14.29,0,0,0,28.57
0,0,0,0,0,0,0,0,9.43,0.00,1.89,0,5.66,5.66,5.66,3.77,0
0,0,0,0,0,0,0,0,0,0.00,50,0,0,0,0,0,50
0,0,0.693147181,0,0,0,0,0,0,11.11,11.11,11.11,0,0,0,0,22.22
0,0,0,0,0,0,0,0,0,0.00,0,11.11,0,0,0,0,0
0,0,0,0,0,0,0,0,13.33,0.00,0,0,6.67,0,0,0,0
0,0,0,0,1.791759469,0,0.693147181,0,8.77,1.75,1.17,2.34,3.51,0.58,2.92,1.75,1.75
0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
0,0,1.386294361,0,0.693147181,0,0,0,11.25,1.88,3.12,0.62,2.5,1.25,1.25,3.12,1.88
0,0,0.693147181,0,0,0,0,0,12,4.00,4,0,0,4,0,4,8
0,0,0,0.693147181,1.945910149,0,0,0,9.57,2.13,4.26,3.19,7.45,3.19,0,0,2.13
0,0,0,0,0,0,0,0,13.73,1.96,1.96,1.96,7.84,0,1.96,1.96,1.96
0,0,0,0,0,0,0,0,0,0.00,50,0,0,0,0,0,50
0,0,0,0,0,0,0,0,0,0.00,0,0,20,0,0,0,20
0,1.945910149,0,1.098612289,0,0,0,0.693147181,11.3,2.26,5.08,0,6.21,5.65,2.82,1.69,6.21
0,1.098612289,0.693147181,0,0,0,0,0,11.11,0.00,11.11,0,0,0,0,5.56,27.78
0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,100
0,0,0,0,1.098612289,0,0,0,12.73,1.82,0,0,0,5.45,3.64,0,0
0,0,0.693147181,0,0,0,0,0,7.69,0.00,0,0,15.38,0,0,0,15.38
0,0,0,0,0,0,0,0,9.09,9.09,9.09,0,0,0,0,0,0
0,0,0.693147181,0,1.098612289,0,0.693147181,0,11.94,7.46,4.48,0,5.97,0,4.48,0,7.46
0,0,1.386294361,0,0,0,0,0,18.18,0.00,27.27,0,0,0,0,18.18,18.18
0,0,1.386294361,0,0,0,0,0,7.14,0.00,14.29,0,0,0,0,7.14,21.43
0,0,0.693147181,0,0,0,0,0,0,33.33,33.33,0,0,0,0,33.33,33.33
0,0,0,0,0,0,0,0,6.9,3.45,5.17,0,5.17,0,5.17,0,0
0,0,0.693147181,0,0,0,0,0,0,0.00,25,0,0,0,0,25,50
0,0,0.693147181,0,0,0,0,0,0,0.00,40,0,0,0,0,0,40
0,0,0,0,0,0,0,0,9.52,14.29,0,0,9.52,0,0,4.76,4.76
0,0,1.098612289,0,0.693147181,0,0,0,8.33,0.00,8.33,0,0,0,5,1.67,5
0,0,0,0,0,0,0,0,7.14,0.00,0,7.14,0,0,0,0,7.14
0,0,0,0,0,0,0,0,0,0.00,25,0,0,0,0,0,25
0,0,0,0,0,0,0,0,4.76,4.76,9.52,0,0,4.76,0,4.76,4.76
0,0,0,0,0,0,0,0,0,0.00,20,0,20,0,0,0,0
0,0,0.693147181,0,0,0,0,0,0,0.00,0,0,0,0,0,0,100
0,0.693147181,0,0,0,0,0,0,6.36,2.73,0.91,1.82,4.55,1.82,5.45,0.91,1.82
0,0,0,0,0,0,0,0,10.71,3.57,0,0,3.57,7.14,3.57,0,0
0,0,1.386294361,0,0,0,0,0,11.86,3.39,0,0,3.39,5.08,5.08,0,6.78
0,0,0,0,0,0,0,0,9.52,0.00,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.00,0,0,20,20,0,0,20
0,0,0,0,0,0,0,0,10.26,5.13,0,2.56,10.26,0,2.56,2.56,0
0,0,0,0,0,0,0,0,8.7,6.52,0,0,6.52,0,0,2.17,0
0,0,0,0,0,0,0,0,11.11,3.70,0,0,3.7,3.7,0,7.41,0
0,0,0,0,0,0,0,0,4.17,0.00,6.94,2.78,6.94,1.39,2.78,2.78,2.78
0,0,0,0,0,0,0,0,3.03,3.03,9.09,0,3.03,9.09,9.09,0,3.03
0,0,0,0,0,0,0,0,12.9,0.00,19.35,0,3.23,0,0,6.45,0
0,0,0,0,0,0,0,0,17.65,0.00,11.76,0,0,0,5.88,0,0
0,0,0,0,0.693147181,0,0,0,10.64,3.55,2.13,3.55,4.26,2.84,10.64,0.71,0.71
