,index,condition,pair_id,topic,turn_txt,round,time,inter_num,tokenized_text,word_counts,agent,time_label,appre_c,affir_c,assent_c,aggree_c,fillpause_c,laugh_c,yknow_c,idknow_c,appre_log,affir_log,assent_log,aggree_log,fillpause_log,laugh_log,yknow_log,idknow_log,conj,negate,posemo,negemo,insight,cause,discrep,certain,assent
0,0,NB,5,11,"Yeah, like definitely, like, I definitely see what you mean what the reason I personally am against the death penalty isn't because I don't think some people should be from removed society because if you have like someone who's like, I don't know, like a terrorist who, who knows people indiscriminately or something like that, you know, I think they should be removed from society, but at the same time, you know, in terms of like implementation a lot of the time. So like, in the US, like, when someone is sentenced to death, like, the, just from, like, there's, I guess there's two perspectives, there's like, the sort of pragmatic perspective and then there's, like a moral perspective, like, and just from, like, the pragmatic perspective, you know, like when you're talking about like, like, I've done a little bit of research into this. Uh like, it actually costs more to send it to like, uhh an execution because there's a ton of like checks to make sure that you're not executing the wrong person like  even even in spite of that every once in a while, you know, like people after their execution are exonerated by DNA evidence and you know, you can't undo a death sentence but you can undo a Life Sentence ",1,43,0,"['Yeah', 'like', 'definitely', 'like', 'I', 'definitely', 'see', 'what', 'you', 'mean', 'what', 'the', 'reason', 'I', 'personally', 'am', 'against', 'the', 'death', 'penalty', 'is', ""n't"", 'because', 'I', 'do', ""n't"", 'think', 'some', 'people', 'should', 'be', 'from', 'removed', 'society', 'because', 'if', 'you', 'have', 'like', 'someone', 'who', ""'s"", 'like', 'I', 'do', ""n't"", 'know', 'like', 'a', 'terrorist', 'who', 'who', 'knows', 'people', 'indiscriminately', 'or', 'something', 'like', 'that', 'you', 'know', 'I', 'think', 'they', 'should', 'be', 'removed', 'from', 'society', 'but', 'at', 'the', 'same', 'time', 'you', 'know', 'in', 'terms', 'of', 'like', 'implementation', 'a', 'lot', 'of', 'the', 'time', 'So', 'like', 'in', 'the', 'US', 'like', 'when', 'someone', 'is', 'sentenced', 'to', 'death', 'like', 'the', 'just', 'from', 'like', 'there', ""'s"", 'I', 'guess', 'there', ""'s"", 'two', 'perspectives', 'there', ""'s"", 'like', 'the', 'sort', 'of', 'pragmatic', 'perspective', 'and', 'then', 'there', ""'s"", 'like', 'a', 'moral', 'perspective', 'like', 'and', 'just', 'from', 'like', 'the', 'pragmatic', 'perspective', 'you', 'know', 'like', 'when', 'you', ""'re"", 'talking', 'about', 'like', 'like', 'I', ""'ve"", 'done', 'a', 'little', 'bit', 'of', 'research', 'into', 'this', 'Uh', 'like', 'it', 'actually', 'costs', 'more', 'to', 'send', 'it', 'to', 'like', 'uhh', 'an', 'execution', 'because', 'there', ""'s"", 'a', 'ton', 'of', 'like', 'checks', 'to', 'make', 'sure', 'that', 'you', ""'re"", 'not', 'executing', 'the', 'wrong', 'person', 'like', 'even', 'even', 'in', 'spite', 'of', 'that', 'every', 'once', 'in', 'a', 'while', 'you', 'know', 'like', 'people', 'after', 'their', 'execution', 'are', 'exonerated', 'by', 'DNA', 'evidence', 'and', 'you', 'know', 'you', 'ca', ""n't"", 'undo', 'a', 'death', 'sentence', 'but', 'you', 'can', 'undo', 'a', 'Life', 'Sentence']",229,A,2,0,0,2,0,2,0,5,1,0,0,0.693147181,0,0.693147181,0,1.609437912,0,6.98,2.33,1.86,1.4,6.98,2.33,2.33,1.86,0.47
1,0,NB,5,11,"And then the other thing is like from like a more like moral perspective or not not even a moral perspective. But like, I remember I, I haven't actually read the study. But I remember reading that there was a study that said that like the death penalty isn't any worse than like a life sentence, like life without parole when it comes to punishing or when it comes to discouraging crime. And like when it comes to um what is it? And then like some people, like, from certain points of view, you know, a life sentence without parole might even be a worse punishment than a death sentence. Because with the death sentence, you know, you're you're dying, like you don't have to stew in prison and think about what you've done, you know? With the life sentence, you know, you're left to live the rest of your life, you know, thinking about what to did if that makes sense? ",2,104,0,"['And', 'then', 'the', 'other', 'thing', 'is', 'like', 'from', 'like', 'a', 'more', 'like', 'moral', 'perspective', 'or', 'not', 'not', 'even', 'a', 'moral', 'perspective', 'But', 'like', 'I', 'remember', 'I', 'I', 'have', ""n't"", 'actually', 'read', 'the', 'study', 'But', 'I', 'remember', 'reading', 'that', 'there', 'was', 'a', 'study', 'that', 'said', 'that', 'like', 'the', 'death', 'penalty', 'is', ""n't"", 'any', 'worse', 'than', 'like', 'a', 'life', 'sentence', 'like', 'life', 'without', 'parole', 'when', 'it', 'comes', 'to', 'punishing', 'or', 'when', 'it', 'comes', 'to', 'discouraging', 'crime', 'And', 'like', 'when', 'it', 'comes', 'to', 'um', 'what', 'is', 'it', 'And', 'then', 'like', 'some', 'people', 'like', 'from', 'certain', 'points', 'of', 'view', 'you', 'know', 'a', 'life', 'sentence', 'without', 'parole', 'might', 'even', 'be', 'a', 'worse', 'punishment', 'than', 'a', 'death', 'sentence', 'Because', 'with', 'the', 'death', 'sentence', 'you', 'know', 'you', ""'re"", 'you', ""'re"", 'dying', 'like', 'you', 'do', ""n't"", 'have', 'to', 'stew', 'in', 'prison', 'and', 'think', 'about', 'what', 'you', ""'ve"", 'done', 'you', 'know', 'With', 'the', 'life', 'sentence', 'you', 'know', 'you', ""'re"", 'left', 'to', 'live', 'the', 'rest', 'of', 'your', 'life', 'you', 'know', 'thinking', 'about', 'what', 'to', 'did', 'if', 'that', 'makes', 'sense']",169,A,4,0,0,0,0,1,0,5,0,0,0,0,0,0,0,1.609437912,0,9.26,4.32,0.62,3.09,7.41,1.23,0.62,0.62,0
2,1,TYB,6,2,"Oh really, Okay, uhhm so I-I think the reason I put 10 was I-I just thought like, as long as medical condition permits meant, like, they're like safe to take like it, you know, it won't hurt them. And I was also assuming I guess that like the cost would be covered or something. Um uh an-and so that it would just be like a net benefit thing, because um when you get a flu shot, you can't make other people sick.",1,0,0,"['Oh', 'really', 'Okay', 'uhhm', 'so', 'I', 'I', 'think', 'the', 'reason', 'I', 'put', '10', 'was', 'I', 'I', 'just', 'thought', 'like', 'as', 'long', 'as', 'medical', 'condition', 'permits', 'meant', 'like', 'they', ""'re"", 'like', 'safe', 'to', 'take', 'like', 'it', 'you', 'know', 'it', 'wo', ""n't"", 'hurt', 'them', 'And', 'I', 'was', 'also', 'assuming', 'I', 'guess', 'that', 'like', 'the', 'cost', 'would', 'be', 'covered', 'or', 'something', 'Um', 'uh', 'an', 'and', 'so', 'that', 'it', 'would', 'just', 'be', 'like', 'a', 'net', 'benefit', 'thing', 'because', 'um', 'when', 'you', 'get', 'a', 'flu', 'shot', 'you', 'ca', ""n't"", 'make', 'other', 'people', 'sick']",88,A,1,0,2,0,0,3,0,1,0,0,0.693147181,0,0,1.098612289,0,0,0,11.76,2.35,3.53,2.35,7.06,4.71,2.35,0,1.18
3,1,TYB,6,2,"Yeah, I know. I totally agree with the practical thing, because there are definitely times when I just am like lazy. I so yeah, ever maybe okay. Everyone's like should, but in reality yeah, I totally feel lazy and just don't sometimes but yeah, yeah, that that makes sense. ",2,58,0,"['Yeah', 'I', 'know', 'I', 'totally', 'agree', 'with', 'the', 'practical', 'thing', 'because', 'there', 'are', 'definitely', 'times', 'when', 'I', 'just', 'am', 'like', 'lazy', 'I', 'so', 'yeah', 'ever', 'maybe', 'okay', 'Everyone', ""'s"", 'like', 'should', 'but', 'in', 'reality', 'yeah', 'I', 'totally', 'feel', 'lazy', 'and', 'just', 'do', ""n't"", 'sometimes', 'but', 'yeah', 'yeah', 'that', 'that', 'makes', 'sense']",51,A,2,0,1,2,1,0,0,0,0,0,0,0.693147181,0,0,0,0,0,12.24,2.04,6.12,4.08,6.12,4.08,2.04,10.2,14.29
4,1,TYB,6,2,". Uh-huh. . There might be like some cost to doing it that I'm not thinking of like the fact that you have to like take the time to go and maybe the shot is painful or something and that like that maybe that cost something that really should be considered, well that that like is part of getting a flu shot that I wasn't thinking about so ",3,88,0,"['Uh', 'huh', 'There', 'might', 'be', 'like', 'some', 'cost', 'to', 'doing', 'it', 'that', 'I', ""'m"", 'not', 'thinking', 'of', 'like', 'the', 'fact', 'that', 'you', 'have', 'to', 'like', 'take', 'the', 'time', 'to', 'go', 'and', 'maybe', 'the', 'shot', 'is', 'painful', 'or', 'something', 'and', 'that', 'like', 'that', 'maybe', 'that', 'cost', 'something', 'that', 'really', 'should', 'be', 'considered', 'well', 'that', 'that', 'like', 'is', 'part', 'of', 'getting', 'a', 'flu', 'shot', 'that', 'I', 'was', ""n't"", 'thinking', 'about', 'so']",69,A,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.15,3.08,3.08,1.54,4.62,0,1.54,1.54,1.54
5,1,TYB,6,2,". Uh-huh . . Yeah, I-I don't know about maybe it wasn't the best language but but yeah, like if it was.. I don't know diseases, but yeah, you're right like some some stronger thing whereas the flu is like eh, but um I mean, I haven't been sick for a while so I don't know ",4,122,0,"['Uh', 'huh', 'Yeah', 'I', 'I', 'do', ""n't"", 'know', 'about', 'maybe', 'it', 'was', ""n't"", 'the', 'best', 'language', 'but', 'but', 'yeah', 'like', 'if', 'it', 'was', 'I', 'do', ""n't"", 'know', 'diseases', 'but', 'yeah', 'you', ""'re"", 'right', 'like', 'some', 'some', 'stronger', 'thing', 'whereas', 'the', 'flu', 'is', 'like', 'eh', 'but', 'um', 'I', 'mean', 'I', 'have', ""n't"", 'been', 'sick', 'for', 'a', 'while', 'so', 'I', 'do', ""n't"", 'know']",61,A,5,0,1,3,0,2,0,0,3,0,0,1.098612289,0,0.693147181,0,0,1.098612289,14.81,9.26,3.7,1.85,7.41,0,1.85,0,7.41
6,1,TYB,6,2,You think like it might like jinx it or something? ,5,145,0,"['You', 'think', 'like', 'it', 'might', 'like', 'jinx', 'it', 'or', 'something']",10,A,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.00,0,0,10,0,0,0,0
7,1,TYB,6,2,". Yeah. . To get a shot every season?.  Yeah, I mean I would still say maybe people should, but I can see why someone wouldn't",6,156,0,"['Yeah', 'To', 'get', 'a', 'shot', 'every', 'season', 'Yeah', 'I', 'mean', 'I', 'would', 'still', 'say', 'maybe', 'people', 'should', 'but', 'I', 'can', 'see', 'why', 'someone', 'would', ""n't""]",25,A,6,0,0,3,0,0,0,0,0,0,0,1.098612289,0,0,0,0,0,4.17,4.17,0,0,4.17,4.17,12.5,4.17,8.33
8,2,NB,7,5,"So I, when I read this question I thought about, like, myself as a underrepresented minority woman, typically in Ivy League schools, like my demographics would probably be one of the least. Um like, least visible as like a uh Latina woman. And so I was thinking um that there are positives to the university knowing about my background, because, like, I don't know, that could help with like, giving me opportunities. I don't know, wa-wa-what were you thinking when you read it? ",1,0,0,"['So', 'I', 'when', 'I', 'read', 'this', 'question', 'I', 'thought', 'about', 'like', 'myself', 'as', 'a', 'underrepresented', 'minority', 'woman', 'typically', 'in', 'Ivy', 'League', 'schools', 'like', 'my', 'demographics', 'would', 'probably', 'be', 'one', 'of', 'the', 'least', 'Um', 'like', 'least', 'visible', 'as', 'like', 'a', 'uh', 'Latina', 'woman', 'And', 'so', 'I', 'was', 'thinking', 'um', 'that', 'there', 'are', 'positives', 'to', 'the', 'university', 'knowing', 'about', 'my', 'background', 'because', 'like', 'I', 'do', ""n't"", 'know', 'that', 'could', 'help', 'with', 'like', 'giving', 'me', 'opportunities', 'I', 'do', ""n't"", 'know', 'wa', 'wa', 'what', 'were', 'you', 'thinking', 'when', 'you', 'read', 'it']",87,A,1,0,0,0,0,3,0,0,2,0,0,0,0,1.098612289,0,0,0.693147181,9.41,2.35,3.53,0,8.24,1.18,2.35,1.18,0
9,2,NB,7,5,"Ok and so what does the law say? Does it say like, or what did the study show?",2,84,0,"['Ok', 'and', 'so', 'what', 'does', 'the', 'law', 'say', 'Does', 'it', 'say', 'like', 'or', 'what', 'did', 'the', 'study', 'show']",18,A,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0.00,5.56,0,0,0,0,0,5.56
